Index,4ES_1,4ES_2,4ES_3,4ES_4,4PF_1,4PF_2,4PF_3,4PF_4
60,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
61,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406
62,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798,2509.798,2509.798
63,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
64,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
65,2529.406,2509.798,2509.798,2509.798,2509.798,2509.798,2529.406,2529.406
66,2509.798,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798
67,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
68,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2529.406
69,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798
70,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
71,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
72,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
73,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
74,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406
75,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
76,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
77,2509.798,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406
78,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798,2509.798,2529.406
79,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
80,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
81,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
82,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
83,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
84,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
85,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2529.406
86,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406,2529.406,2509.798
87,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406
