Index,Time,4ES_1,Time,4ES_2,Time,4ES_3,Time,4ES_4,Time,4PF_1,Time,4PF_2,Time,4PF_3,Time,4PF_4
113,141.654,2509.798,141.654,2529.406,141.654,2509.798,141.654,2529.406,141.654,2509.798,141.654,2529.406,141.654,2509.798,141.654,2509.798
114,141.672,2529.406,141.672,2529.406,141.672,2529.406,141.672,2529.406,141.672,2529.406,141.672,2529.406,141.672,2529.406,141.672,2509.798
115,141.691,2529.406,141.691,2529.406,141.691,2529.406,141.691,2509.798,141.691,2529.406,141.691,2509.798,141.691,2509.798,141.691,2509.798
116,141.709,2529.406,141.709,2509.798,141.709,2529.406,141.709,2529.406,141.709,2509.798,141.709,2529.406,141.709,2509.798,141.709,2529.406
117,141.728,2509.798,141.728,2509.798,141.728,2529.406,141.728,2509.798,141.728,2509.798,141.728,2529.406,141.728,2509.798,141.728,2529.406
118,141.746,2529.406,141.746,2509.798,141.746,2529.406,141.746,2509.798,141.746,2509.798,141.746,2529.406,141.746,2509.798,141.746,2509.798
119,141.764,2509.798,141.764,2509.798,141.764,2529.406,141.764,2529.406,141.764,2529.406,141.764,2529.406,141.764,2529.406,141.764,2509.798
120,141.783,2509.798,141.783,2529.406,141.783,2529.406,141.783,2529.406,141.783,2529.406,141.783,2529.406,141.783,2509.798,141.783,2509.798
121,141.801,2509.798,141.801,2529.406,141.801,2529.406,141.801,2529.406,141.801,2509.798,141.801,2529.406,141.801,2509.798,141.801,2509.798
122,141.82,2509.798,141.82,2529.406,141.82,2529.406,141.82,2529.406,141.82,2509.798,141.82,2529.406,141.82,2509.798,141.82,2509.798
123,141.838,2509.798,141.838,2529.406,141.838,2529.406,141.838,2509.798,141.838,2529.406,141.838,2529.406,141.838,2509.798,141.838,2509.798
124,141.857,2509.798,141.857,2529.406,141.857,2529.406,141.857,2529.406,141.857,2529.406,141.857,2529.406,141.857,2509.798,141.857,2509.798
125,141.875,2509.798,141.875,2529.406,141.875,2529.406,141.875,2529.406,141.875,2529.406,141.875,2509.798,141.875,2509.798,141.875,2529.406
126,141.893,2509.798,141.893,2529.406,141.893,2509.798,141.893,2509.798,141.893,2529.406,141.893,2529.406,141.893,2509.798,141.893,2509.798
127,141.912,2529.406,141.912,2529.406,141.912,2509.798,141.912,2529.406,141.912,2509.798,141.912,2529.406,141.912,2509.798,141.912,2509.798
128,141.93,2509.798,141.93,2509.798,141.93,2529.406,141.93,2529.406,141.93,2529.406,141.93,2529.406,141.93,2509.798,141.93,2509.798
129,141.949,2509.798,141.949,2509.798,141.949,2529.406,141.949,2529.406,141.949,2529.406,141.949,2529.406,141.949,2509.798,141.949,2509.798
130,141.967,2509.798,141.967,2529.406,141.967,2529.406,141.967,2529.406,141.967,2509.798,141.967,2509.798,141.967,2509.798,141.967,2529.406
131,141.986,2509.798,141.986,2529.406,141.986,2509.798,141.986,2529.406,141.986,2509.798,141.986,2529.406,141.986,2529.406,141.986,2529.406
132,142.004,2509.798,142.004,2529.406,142.004,2529.406,142.004,2509.798,142.004,2529.406,142.004,2529.406,142.004,2529.406,142.004,2529.406
133,142.022,2509.798,142.022,2529.406,142.022,2529.406,142.022,2509.798,142.022,2529.406,142.022,2509.798,142.022,2529.406,142.022,2509.798
134,142.041,2509.798,142.041,2509.798,142.041,2529.406,142.041,2509.798,142.041,2529.406,142.041,2509.798,142.041,2529.406,142.041,2509.798
135,142.059,2509.798,142.059,2529.406,142.059,2529.406,142.059,2529.406,142.059,2509.798,142.059,2509.798,142.059,2509.798,142.059,2509.798
136,142.078,2529.406,142.078,2529.406,142.078,2529.406,142.078,2529.406,142.078,2509.798,142.078,2529.406,142.078,2509.798,142.078,2509.798
137,142.096,2509.798,142.096,2509.798,142.096,2509.798,142.096,2529.406,142.096,2529.406,142.096,2529.406,142.096,2509.798,142.096,2509.798
138,142.115,2509.798,142.115,2509.798,142.115,2529.406,142.115,2529.406,142.115,2529.406,142.115,2529.406,142.115,2490.19,142.115,2509.798
139,142.133,2509.798,142.133,2529.406,142.133,2529.406,142.133,2529.406,142.133,2529.406,142.133,2509.798,142.133,2509.798,142.133,2529.406
140,142.151,2509.798,142.151,2509.798,142.151,2529.406,142.151,2509.798,142.151,2529.406,142.151,2509.798,142.151,2509.798,142.151,2509.798
141,142.17,2529.406,142.17,2529.406,142.17,2509.798,142.17,2529.406,142.17,2509.798,142.17,2509.798,142.17,2509.798,142.17,2509.798
142,142.188,2509.798,142.188,2509.798,142.188,2529.406,142.188,2509.798,142.188,2529.406,142.188,2529.406,142.188,2509.798,142.188,2509.798
143,142.207,2509.798,142.207,2509.798,142.207,2529.406,142.207,2509.798,142.207,2529.406,142.207,2509.798,142.207,2509.798,142.207,2509.798
144,142.225,2509.798,142.225,2529.406,142.225,2529.406,142.225,2509.798,142.225,2529.406,142.225,2509.798,142.225,2509.798,142.225,2509.798
145,142.244,2509.798,142.244,2529.406,142.244,2529.406,142.244,2509.798,142.244,2509.798,142.244,2529.406,142.244,2529.406,142.244,2509.798
146,142.262,2509.798,142.262,2509.798,142.262,2529.406,142.262,2509.798,142.262,2509.798,142.262,2529.406,142.262,2529.406,142.262,2509.798
147,142.281,2529.406,142.281,2529.406,142.281,2529.406,142.281,2529.406,142.281,2529.406,142.281,2529.406,142.281,2509.798,142.281,2509.798
148,142.299,2529.406,142.299,2529.406,142.299,2529.406,142.299,2529.406,142.299,2529.406,142.299,2529.406,142.299,2509.798,142.299,2509.798
149,142.317,2529.406,142.317,2529.406,142.317,2529.406,142.317,2509.798,142.317,2529.406,142.317,2529.406,142.317,2509.798,142.317,2509.798
150,142.336,2509.798,142.336,2529.406,142.336,2529.406,142.336,2509.798,142.336,2529.406,142.336,2529.406,142.336,2509.798,142.336,2529.406
151,142.354,2529.406,142.354,2509.798,142.354,2529.406,142.354,2529.406,142.354,2529.406,142.354,2529.406,142.354,2509.798,142.354,2509.798
152,142.373,2509.798,142.373,2509.798,142.373,2529.406,142.373,2529.406,142.373,2529.406,142.373,2529.406,142.373,2509.798,142.373,2509.798
153,142.391,2509.798,142.391,2509.798,142.391,2529.406,142.391,2509.798,142.391,2529.406,142.391,2509.798,142.391,2509.798,142.391,2509.798
154,142.41,2509.798,142.41,2509.798,142.41,2529.406,142.41,2509.798,142.41,2529.406,142.41,2509.798,142.41,2509.798,142.41,2509.798
155,142.428,2509.798,142.428,2529.406,142.428,2529.406,142.428,2509.798,142.428,2529.406,142.428,2529.406,142.428,2509.798,142.428,2509.798
156,142.446,2509.798,142.446,2529.406,142.446,2529.406,142.446,2529.406,142.446,2509.798,142.446,2529.406,142.446,2509.798,142.446,2509.798
157,142.465,2509.798,142.465,2529.406,142.465,2529.406,142.465,2529.406,142.465,2529.406,142.465,2529.406,142.465,2509.798,142.465,2509.798
158,142.483,2509.798,142.483,2529.406,142.483,2529.406,142.483,2529.406,142.483,2529.406,142.483,2529.406,142.483,2509.798,142.483,2509.798
159,142.502,2529.406,142.502,2529.406,142.502,2529.406,142.502,2509.798,142.502,2529.406,142.502,2529.406,142.502,2509.798,142.502,2509.798
160,142.52,2509.798,142.52,2509.798,142.52,2529.406,142.52,2509.798,142.52,2529.406,142.52,2529.406,142.52,2509.798,142.52,2509.798
161,142.539,2509.798,142.539,2509.798,142.539,2529.406,142.539,2529.406,142.539,2529.406,142.539,2529.406,142.539,2509.798,142.539,2529.406
162,142.557,2509.798,142.557,2529.406,142.557,2509.798,142.557,2529.406,142.557,2529.406,142.557,2529.406,142.557,2509.798,142.557,2509.798
163,142.575,2529.406,142.575,2529.406,142.575,2509.798,142.575,2509.798,142.575,2529.406,142.575,2509.798,142.575,2509.798,142.575,2529.406
164,142.594,2529.406,142.594,2529.406,142.594,2529.406,142.594,2529.406,142.594,2509.798,142.594,2509.798,142.594,2509.798,142.594,2529.406
165,142.612,2509.798,142.612,2509.798,142.612,2529.406,142.612,2509.798,142.612,2529.406,142.612,2529.406,142.612,2529.406,142.612,2509.798
166,142.631,2509.798,142.631,2509.798,142.631,2529.406,142.631,2529.406,142.631,2529.406,142.631,2529.406,142.631,2509.798,142.631,2509.798
167,142.649,2509.798,142.649,2509.798,142.649,2529.406,142.649,2529.406,142.649,2529.406,142.649,2529.406,142.649,2509.798,142.649,2509.798
168,142.668,2509.798,142.668,2529.406,142.668,2529.406,142.668,2509.798,142.668,2529.406,142.668,2529.406,142.668,2509.798,142.668,2509.798
169,142.686,2509.798,142.686,2509.798,142.686,2529.406,142.686,2509.798,142.686,2509.798,142.686,2529.406,142.686,2509.798,142.686,2529.406
170,142.704,2509.798,142.704,2529.406,142.704,2529.406,142.704,2529.406,142.704,2529.406,142.704,2529.406,142.704,2509.798,142.704,2509.798
171,142.723,2509.798,142.723,2509.798,142.723,2529.406,142.723,2529.406,142.723,2529.406,142.723,2509.798,142.723,2509.798,142.723,2529.406
172,142.741,2509.798,142.741,2509.798,142.741,2529.406,142.741,2509.798,142.741,2509.798,142.741,2509.798,142.741,2509.798,142.741,2509.798
173,142.76,2509.798,142.76,2529.406,142.76,2529.406,142.76,2529.406,142.76,2529.406,142.76,2509.798,142.76,2509.798,142.76,2529.406
174,142.778,2509.798,142.778,2509.798,142.778,2529.406,142.778,2509.798,142.778,2529.406,142.778,2529.406,142.778,2509.798,142.778,2509.798
175,142.797,2509.798,142.797,2509.798,142.797,2509.798,142.797,2529.406,142.797,2529.406,142.797,2529.406,142.797,2509.798,142.797,2509.798
