Index,Time,4ES_1,4PF_1
620,11.428,2509.798,2529.406
621,11.446,2509.798,2529.406
622,11.465,2529.406,2529.406
623,11.483,2529.406,2529.406
624,11.502,2529.406,2509.798
625,11.52,2509.798,2529.406
626,11.538,2509.798,2529.406
627,11.557,2509.798,2529.406
628,11.575,2529.406,2529.406
629,11.594,2529.406,2509.798
630,11.612,2509.798,2529.406
631,11.631,2509.798,2509.798
632,11.649,2490.19,2529.406
633,11.667,2509.798,2529.406
634,11.686,2529.406,2529.406
635,11.704,2529.406,2529.406
636,11.723,2509.798,2529.406
637,11.741,2509.798,2529.406
638,11.76,2509.798,2529.406
639,11.778,2509.798,2509.798
640,11.796,2509.798,2529.406
641,11.815,2529.406,2509.798
642,11.833,2509.798,2529.406
643,11.852,2509.798,2529.406
644,11.87,2529.406,2529.406
645,11.889,2509.798,2529.406
646,11.907,2509.798,2529.406
647,11.926,2529.406,2529.406
648,11.944,2509.798,2509.798
649,11.962,2509.798,2509.798
650,11.981,2509.798,2509.798
651,11.999,2509.798,2529.406
652,12.018,2509.798,2529.406
653,12.036,2509.798,2509.798
654,12.055,2509.798,2509.798
655,12.073,2529.406,2509.798
656,12.091,2529.406,2529.406
657,12.11,2509.798,2529.406
658,12.128,2509.798,2509.798
659,12.147,2529.406,2529.406
660,12.165,2509.798,2529.406
661,12.184,2509.798,2529.406
662,12.202,2509.798,2509.798
663,12.22,2509.798,2509.798
664,12.239,2509.798,2529.406
665,12.257,2509.798,2529.406
666,12.276,2509.798,2529.406
667,12.294,2529.406,2509.798
668,12.313,2509.798,2529.406
669,12.331,2529.406,2529.406
670,12.349,2509.798,2529.406
671,12.368,2529.406,2529.406
672,12.386,2509.798,2529.406
673,12.405,2529.406,2509.798
674,12.423,2509.798,2509.798
675,12.442,2509.798,2509.798
676,12.46,2509.798,2529.406
677,12.478,2509.798,2529.406
678,12.497,2509.798,2529.406
679,12.515,2509.798,2509.798
680,12.534,2509.798,2509.798
681,12.552,2509.798,2529.406
682,12.571,2529.406,2529.406
683,12.589,2509.798,2509.798
684,12.607,2529.406,2529.406
685,12.626,2509.798,2529.406
686,12.644,2509.798,2529.406
687,12.663,2509.798,2529.406
688,12.681,2529.406,2529.406
689,12.7,2509.798,2529.406
690,12.718,2529.406,2509.798
691,12.737,2509.798,2509.798
692,12.755,2529.406,2529.406
693,12.773,2529.406,2529.406
694,12.792,2509.798,2529.406
695,12.81,2529.406,2529.406
696,12.829,2529.406,2529.406
697,12.847,2509.798,2509.798
698,12.866,2509.798,2529.406
699,12.884,2529.406,2529.406
700,12.902,2529.406,2529.406
701,12.921,2509.798,2529.406
702,12.939,2509.798,2529.406
703,12.958,2509.798,2529.406
704,12.976,2509.798,2509.798
705,12.995,2509.798,2509.798
706,13.013,2509.798,2529.406
707,13.031,2862.739,2509.798
708,13.05,2882.346,2470.583
709,13.068,2882.346,2411.759
710,13.087,2882.346,2313.72
711,13.105,2882.346,2235.289
712,13.124,2882.346,2176.466
713,13.142,2882.346,2156.858
714,13.16,2862.739,2156.858
715,13.179,2882.346,2156.858
716,13.197,2882.346,2156.858
717,13.216,2882.346,2156.858
718,13.234,2882.346,2156.858
719,13.253,2882.346,2156.858
720,13.271,2862.739,2156.858
721,13.289,2882.346,2176.466
722,13.308,2882.346,2156.858
723,13.326,2882.346,2156.858
724,13.345,2882.346,2156.858
725,13.363,2882.346,2156.858
726,13.382,2882.346,2176.466
727,13.4,2882.346,2156.858
728,13.419,2882.346,2156.858
729,13.437,2882.346,2156.858
730,13.455,2882.346,2156.858
731,13.474,2882.346,2156.858
732,13.492,2882.346,2156.858
733,13.511,2882.346,2156.858
734,13.529,2862.739,2176.466
735,13.548,2862.739,2156.858
736,13.566,2882.346,2156.858
737,13.584,2882.346,2156.858
738,13.603,2882.346,2176.466
739,13.621,2862.739,2176.466
740,13.64,2882.346,2156.858
741,13.658,2882.346,2156.858
742,13.677,2882.346,2156.858
743,13.695,2882.346,2156.858
744,13.713,2882.346,2156.858
745,13.732,2882.346,2156.858
746,13.75,2862.739,2156.858
747,13.769,2862.739,2156.858
748,13.787,2882.346,2156.858
749,13.806,2882.346,2156.858
750,13.824,2882.346,2156.858
751,13.842,2882.346,2156.858
752,13.861,2882.346,2156.858
753,13.879,2862.739,2156.858
754,13.898,2882.346,2156.858
755,13.916,2882.346,2156.858
756,13.935,2882.346,2156.858
757,13.953,2882.346,2156.858
758,13.971,2882.346,2156.858
759,13.99,2882.346,2176.466
760,14.008,2882.346,2176.466
761,14.027,3215.679,2156.858
762,14.045,3235.287,2117.642
763,14.064,3235.287,2058.819
764,14.082,3235.287,1999.996
765,14.1,3235.287,1901.957
766,14.119,3235.287,1843.133
767,14.137,3235.287,1803.918
768,14.156,3235.287,1803.918
769,14.174,3235.287,1784.31
770,14.193,3235.287,1803.918
771,14.211,3235.287,1803.918
772,14.23,3235.287,1803.918
773,14.248,3235.287,1803.918
774,14.266,3235.287,1803.918
775,14.285,3235.287,1803.918
776,14.303,3235.287,1784.31
777,14.322,3235.287,1803.918
778,14.34,3235.287,1784.31
779,14.359,3235.287,1803.918
780,14.377,3235.287,1803.918
781,14.395,3235.287,1803.918
782,14.414,3235.287,1803.918
783,14.432,3235.287,1803.918
784,14.451,3254.895,1803.918
785,14.469,3235.287,1803.918
786,14.488,3235.287,1803.918
787,14.506,3235.287,1803.918
788,14.524,3235.287,1803.918
789,14.543,3235.287,1803.918
790,14.561,3254.895,1803.918
791,14.58,3235.287,1803.918
792,14.598,3254.895,1803.918
793,14.617,3235.287,1803.918
794,14.635,3235.287,1803.918
795,14.653,3235.287,1803.918
796,14.672,3235.287,1803.918
797,14.69,3235.287,1803.918
798,14.709,3235.287,1803.918
799,14.727,3254.895,1803.918
800,14.746,3235.287,1803.918
801,14.764,3254.895,1803.918
802,14.782,3235.287,1803.918
803,14.801,3235.287,1803.918
804,14.819,3235.287,1803.918
805,14.838,3235.287,1803.918
806,14.856,3235.287,1784.31
807,14.875,3254.895,1803.918
808,14.893,3235.287,1803.918
809,14.911,3235.287,1803.918
810,14.93,3235.287,1803.918
811,14.948,3235.287,1803.918
812,14.967,3235.287,1803.918
813,14.985,3235.287,1803.918
814,15.004,3235.287,1803.918
815,15.022,3509.796,1803.918
816,15.041,3607.835,1764.702
817,15.059,3588.227,1725.486
818,15.077,3607.835,1666.663
819,15.096,3607.835,1588.232
820,15.114,3588.227,1509.801
821,15.133,3607.835,1450.977
822,15.151,3607.835,1431.369
823,15.17,3607.835,1450.977
824,15.188,3607.835,1450.977
825,15.206,3607.835,1450.977
826,15.225,3607.835,1450.977
827,15.243,3588.227,1450.977
828,15.262,3607.835,1450.977
829,15.28,3607.835,1450.977
830,15.299,3588.227,1450.977
831,15.317,3588.227,1450.977
832,15.335,3607.835,1450.977
833,15.354,3607.835,1450.977
834,15.372,3607.835,1450.977
835,15.391,3588.227,1450.977
836,15.409,3607.835,1450.977
837,15.428,3588.227,1431.369
838,15.446,3607.835,1450.977
839,15.464,3607.835,1450.977
840,15.483,3607.835,1450.977
841,15.501,3588.227,1450.977
842,15.52,3588.227,1450.977
843,15.538,3607.835,1450.977
844,15.557,3607.835,1450.977
845,15.575,3607.835,1450.977
846,15.593,3607.835,1450.977
847,15.612,3607.835,1450.977
848,15.63,3607.835,1450.977
849,15.649,3607.835,1450.977
850,15.667,3588.227,1450.977
851,15.686,3588.227,1450.977
852,15.704,3607.835,1450.977
853,15.723,3607.835,1450.977
854,15.741,3607.835,1450.977
855,15.759,3607.835,1450.977
856,15.778,3607.835,1450.977
857,15.796,3607.835,1450.977
858,15.815,3588.227,1450.977
859,15.833,3607.835,1450.977
860,15.852,3588.227,1431.369
861,15.87,3588.227,1431.369
862,15.888,3607.835,1450.977
863,15.907,3607.835,1450.977
864,15.925,3607.835,1450.977
865,15.944,3588.227,1450.977
866,15.962,3588.227,1450.977
